,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2007-01-31,11.980045318603516,,16.300369262695312,20.6451473236084,24.69858169555664,9.225912094116211,15.963666915893555,,9.397699356079102,24.733078002929688,15.446245193481445
2007-02-01,12.125456809997559,,16.35930824279785,20.77877426147461,24.912799835205078,9.187029838562012,16.02356719970703,,9.477319717407227,24.940919876098633,15.501044273376465
2007-02-02,12.105626106262207,,16.4519100189209,20.817747116088867,25.009553909301758,9.233684539794922,16.053512573242188,,9.528681755065918,24.89075469970703,15.544109344482422
2007-02-05,12.05605697631836,,16.43506622314453,20.81218147277832,25.057926177978516,9.210355758666992,15.999608993530273,,9.63142204284668,24.883594512939453,15.49322509765625
2007-02-06,12.138673782348633,,16.384557723999023,20.906835556030273,25.064842224121094,9.19869327545166,15.975643157958984,,9.682785987854004,24.811925888061523,15.548019409179688
2007-02-07,12.138673782348633,,16.286344528198242,20.984779357910156,25.044111251831055,9.241462707519531,15.939709663391113,,9.718744277954102,24.847747802734375,15.62239933013916
2007-02-08,12.151894569396973,,16.4519100189209,20.917957305908203,24.871335983276367,9.25312328338623,15.909749031066895,,9.736723899841309,24.82625389099121,15.59108829498291
2007-02-09,12.095717430114746,,16.384557723999023,20.695253372192383,24.77459716796875,9.152039527893066,15.885794639587402,,9.770112037658691,24.75459098815918,15.446245193481445
2007-02-12,12.145282745361328,,16.157264709472656,20.6451473236084,24.816055297851562,9.113158226013184,15.849852561950684,,9.73415470123291,24.647077560424805,15.371874809265137
2007-02-13,12.389843940734863,,16.39296531677246,20.79547119140625,25.01646614074707,9.14815616607666,15.903763771057129,,9.818914413452148,24.74741554260254,15.504961967468262
2007-02-14,12.465851783752441,,16.39577865600586,20.99591636657715,25.382726669311523,9.276445388793945,15.999608993530273,,9.888261795043945,24.876420974731445,15.587175369262695
2007-02-15,12.52534008026123,,16.27231216430664,21.029319763183594,25.438018798828125,9.31143856048584,16.09545135498047,,9.803500175476074,24.991106033325195,15.638062477111816
2007-02-16,12.462544441223145,,16.275114059448242,21.023754119873047,25.334360122680664,9.292000770568848,16.119415283203125,,9.821480751037598,24.89075469970703,15.618485450744629
2007-02-20,12.564995765686035,,16.092723846435547,21.135108947753906,25.37581443786621,9.295889854431152,16.203275680541992,,9.847166061401367,24.90508270263672,15.732001304626465
2007-02-21,12.644309997558594,,16.26950454711914,21.046018600463867,25.44492530822754,9.280335426330566,16.11341667175293,,9.806070327758789,24.790420532226562,15.669366836547852
2007-02-22,12.64100170135498,,16.415430068969727,20.962505340576172,25.361997604370117,9.330881118774414,16.053512573242188,,9.818914413452148,24.75459098815918,15.634142875671387
2007-02-23,12.690583229064941,,16.4575138092041,20.76763916015625,25.292884826660156,9.323103904724121,16.06549835205078,,9.93191909790039,24.647077560424805,15.598908424377441
2007-02-26,12.806255340576172,,16.55572509765625,20.617305755615234,25.14776611328125,9.299779891967773,16.05950164794922,,10.168207168579102,24.74741554260254,15.465827941894531
2007-02-27,12.287396430969238,,15.896303176879883,19.654096603393555,24.39450454711914,8.942094802856445,15.694114685058594,,9.798361778259277,23.994888305664062,14.933462142944336
2007-02-28,12.300612449645996,,15.966456413269043,20.01598358154297,24.42214584350586,8.977084159851074,15.718070030212402,,9.895965576171875,24.159719467163086,14.984353065490723
2007-03-01,12.247736930847168,,15.915943145751953,19.99372100830078,24.38068199157715,8.969306945800781,15.754006385803223,,9.926783561706543,24.052223205566406,14.898231506347656
2007-03-02,12.04613971710205,,15.72793960571289,19.765451431274414,24.076631546020508,8.802131652832031,15.508423805236816,,9.77268123626709,23.837217330932617,14.788630485534668
2007-03-05,11.887503623962402,,15.545543670654297,19.453649520874023,24.01442527770996,8.821566581726074,15.454504013061523,,9.649401664733887,23.715381622314453,14.592907905578613
2007-03-06,12.128761291503906,,15.84018611907959,19.860097885131836,24.290851593017578,8.957645416259766,15.57430362701416,,9.793230056762695,23.966218948364258,14.843427658081055
